Date,Price
04/11/2023,60281
04/12/2023,60404
04/13/2023,60987
04/14/2023,60145
04/15/2023,60145
04/16/2023,60145
04/17/2023,60051
04/18/2023,60331
04/19/2023,60172
04/20/2023,60389
04/21/2023,59810
04/22/2023,59810
04/23/2023,59810
04/24/2023,59928
04/25/2023,60123
04/26/2023,59849
04/27/2023,59913
04/28/2023,60057
04/29/2023,60057
04/30/2023,60057
05/01/2023,59979
05/02/2023,60787
05/03/2023,61073
05/04/2023,61683
05/05/2023,60799
05/06/2023,60799
05/07/2023,60799
05/08/2023,60916
05/09/2023,61359
05/10/2023,61207
05/11/2023,60886
05/12/2023,60843
05/13/2023,60843
05/14/2023,60843
05/15/2023,60987
05/16/2023,60280
05/17/2023,60189
05/18/2023,59758
05/19/2023,60389
05/20/2023,60389
05/21/2023,60389
05/22/2023,60271
05/23/2023,60220
05/24/2023,59918
05/25/2023,59493
05/26/2023,59430
05/27/2023,59430
05/28/2023,59430
05/29/2023,59358
05/30/2023,59845
05/31/2023,60252
06/01/2023,60033
06/02/2023,59656
06/03/2023,59656
06/04/2023,59656
06/05/2023,59805
06/06/2023,59902
06/07/2023,59511
06/08/2023,59809
06/09/2023,59777
06/10/2023,59777
06/11/2023,59777
06/12/2023,59595
06/13/2023,59222
06/14/2023,59249
06/15/2023,59249
06/16/2023,59249
06/17/2023,59249
06/18/2023,59249
06/19/2023,59043
06/20/2023,58721
06/21/2023,58630
06/22/2023,58144
06/23/2023,58188
06/24/2023,58188
06/25/2023,58188
06/26/2023,58256
06/27/2023,58015
06/28/2023,57796
06/29/2023,57578
06/30/2023,58020
07/01/2023,58020
07/02/2023,58020
07/03/2023,58119
07/04/2023,58194
07/05/2023,58308
07/06/2023,58385
07/07/2023,58747
07/08/2023,58747
07/09/2023,58747
07/10/2023,58635
07/11/2023,58737
07/12/2023,59113
07/13/2023,59185
07/14/2023,59229
07/15/2023,59229
07/16/2023,59229
07/17/2023,59061
07/18/2023,59633
07/19/2023,59683
